Caldera,Site_Name,Soil_Type,Date_of_Measurement,CH4_Flux,log10FCH4,d13CH4_source,CO2_Flux,log10FCO2,d13CO2_source
YC,Mammoth Hot Springs,Travertine,6/21/2018,-0.024661864,,-48.03150931,110.2748929,2.042476645,-9.319720485
YC,Gas Vents,Acid-Sulphate,6/22/2018,3.409958999,0.532749157,-29.37404256,5325.339849,3.726347328,-4.841133326
YC,Gas Vents,Acid-Sulphate,6/22/2018,0.638345534,,-33.06902165,5448.957881,3.736313451,-4.717669972
YC,Gas Vents,Acid-Sulphate,6/22/2018,0.044848276,,-44.14967461,6625.089067,3.821191721,-4.970411497
YC,Gas Vents,Acid-Sulphate,6/22/2018,0.070461088,,-42.02870987,6522.985921,3.814446441,-4.130105957
YC,Gas Vents,Acid-Sulphate,6/22/2018,0.634630958,,-36.87350239,10721.94297,4.030273493,-4.938318446
YC,Gas Vents,Acid-Sulphate,6/22/2018,2.950608323,0.469911563,-27.30282146,20660.32701,4.315137191,-5.943649701
YC,Gas Vents,Acid-Sulphate,6/22/2018,6.320666462,0.800762873,-24.71976731,11307.32156,4.053359743,-4.676512586
YC,Gas Vents,Acid-Sulphate,6/22/2018,0.341851095,-0.466163024,-31.57988263,5804.572984,3.763770276,-4.791629146
YC,Terrace Springs,Travertine,6/23/2018,-0.010837653,,-47.35592393,21.88600913,1.340166576,-9.536976299
YC,Terrace Springs,Travertine,6/23/2018,-0.021730097,,-46.4388721,83.16438333,1.919937372,-10.23467709
YC,Terrace Springs,Travertine,6/23/2018,-0.030104579,,-45.28497581,213.9948564,2.330403335,-12.67353955
YC,Terrace Springs,Travertine,6/23/2018,-0.005355457,,-45.1871537,100.7296304,2.00315724,-9.782699708
YC,Terrace Springs,Travertine,6/23/2018,-0.03256542,,-46.41254794,51.23690142,1.709582858,-8.847269314
YC,Terrace Springs,Travertine,6/23/2018,-0.035328479,,-46.49681936,81.48423468,1.911073591,-9.106525579
YC,East Entrance Road,Acid-Sulphate,6/24/2018,23.88114052,1.378055064,-42.87379954,30935.36666,4.490455268,-95.21566435
YC,East Entrance Road,Acid-Sulphate,6/24/2018,25.17507259,1.400970732,-42.9193121,56644.83972,4.753160352,-101.1059991
YC,East Entrance Road,Acid-Sulphate,6/24/2018,0.68812227,-0.162334387,-45.92108183,5493.399836,3.73984121,-7.68937838
YC,East Entrance Road,Acid-Sulphate,6/24/2018,0.673311514,-0.171783959,-47.07130854,4847.322965,3.685501957,-7.20040733
