Site,Site_Number,Date,Latitude,Longitude,CH4_Flux,d13CH4_source,CO2_Flux,d13CO2_source
GRND,1.1,7/2/2018,44.4644,-110.8375,-0.005509121,1.658774773,34.86827542,-9.784527326
GRND,1.2,7/2/2018,44.4657,-110.8369,-0.00854244,-2.927146611,14.19080342,3.802132975
GRND,1.3,7/2/2018,44.4653,-110.837,-0.000789652,20.25496222,9.038572399,-8.2324008
CSTL,1.1,7/2/2018,44.4641,-110.8361,-0.005013047,-2.592532916,5.303621675,4.329893112
CSTL,1.2,7/2/2018,44.464,-110.8366,-0.004706261,-86.03643009,3.653895089,58.53733537
MMTH,3.1,7/3/2018,44.9727,-110.7054,-0.002111338,-73.21011956,93.27160949,-7.967012473
MMTH,3.2,7/3/2018,44.9726,-110.705,-0.006765764,-21.73255772,43.76149016,-1.123556582
WTHB,2.1,7/3/2018,44.4166,-110.5717,1.100764508,-21.78694232,349.3051032,-3.460946713
WTHB,2.2,7/3/2018,44.4167,-110.5722,-0.006694718,-63.41654896,24.36888549,-5.557697771
WTHB,3.1,7/3/2018,44.4173,-110.5731,-0.008357155,-49.09273084,336.4265616,-10.53776767
YSLK,1.1,7/4/2018,44.5206,-110.2774,0.110204077,-39.82175149,-12.49492722,-12.49492722
YSLK,1.2,7/4/2018,44.5207,-110.277,0.092522529,-32.27731167,-6.098810751,-6.098810751
YSLK,2.1,7/4/2018,44.5212,-110.278,0.137985498,-27.35686751,-4.550679839,-4.550679839
YSLK,2.2,7/4/2018,44.5512,-110.2783,-0.008216625,-9.033256674,-13.71154533,-13.71154533
YSLK,2.3,7/4/2018,44.5212,-110.2784,-0.011366857,-88.99456392,-3.351863021,-3.351863021
YSLK,2.4,7/4/2018,44.5211,-110.2786,1.579850944,-32.40166888,-1.555277312,-1.555277312
